OTU_ID	taxonomy	alternative classification and confidence	model_category	approx_size (ref)
43dcdfb28b30ea0dc36113bd2812386b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
e7d8e5a01f7ba103cb0e5e94d89409cc	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Delibus			
2bfab1ef4482677d093a174b6f20793e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Oceaniserpentilla; s__Oceaniserpentilla_haliotis			
4e870c867fb9151514572dbda2c32c47	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
97568989e5c6dfdeb0c5cdf147818e59	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Clausocalanus; species_Clausocalanus_furcatus			
fcf11ec8b80994412cebcb3c12ac3d58	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax; s__uncultured_Alcanivorax			
e9f376c867c2a1506d5b0996f9839a20	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313		picopro	
9da0db375b4cbe1705b60eb261f9488b	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Mecynocera; species_Mecynocera_clausi			
511461f875ba854f26a918ea62496e06	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
9b4336983e721097d51d42538facbe37	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Pleuromamma			
98b6b3afaf433192a88bc3c89bea178e	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.			
62023aed398e3253d491f736ac2df1c6	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
19a97ce61e5838cdf56cc50b2f113b02	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas			
dd3514bb2617b865a0bbf4b14cbadb44	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Collodaria; family_Collosphaeridae; genus_Collosphaera; species_Collosphaera_tuberosa			
383d1b3a7addddcbe98bb8b1867754f2	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
98725d7032cedae3ccee79a648a1a1f2	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Corycaeus; species_Corycaeus_speciosus			
