taxonomy	alternative classification and confidence	model_category	approx_size (ref)
Eukaryota; Stramenopiles; Ochrophyta; Phaeophyceae; Phaeophyceae_X; Phaeophyceae_XX; Phaeophyceae_XXX; Phaeophyceae_XXX_sp.		brown algae	
Eukaryota; Hacrobia; Haptophyta	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	unclear	cocco	
