taxonomy	alternative classification and confidence	model_category	approx_size (ref)
d__Bacteria; p__Cyanobacteria		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcystaceae; g__Atelocyanobacterium_(UCYN-A); s__Candidatus_Atelocyanobacterium		diaz	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcystaceae; g__Synechocystis_CCALA_700; s__uncultured_bacterium			
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Richelia_HH01; s__uncultured_cyanobacterium			
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae; g__Trichodesmium_IMS101		diaz	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae; g__Trichodesmium_IMS101		diaz	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae; g__Trichodesmium_IMS101		diaz	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae; g__Trichodesmium_IMS101; s__Trichodesmium_erythraeum			
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
